,STATION,ENTRY_SUM,EXIT_SUM,LAT,LON,INCOME
0,34 ST-PENN STA,10701055.0,7978101.0,40.752287000775894,-73.99339099970578,30117.0
1,GRD CNTRL-42 ST,8930354.0,7929180.0,40.751431000286864,-73.97604100111508,300000.0
2,TIMES SQ-42 ST,7827994.0,7341618.0,40.755983000570076,-73.98622899953202,132578.0
3,14 ST-UNION SQ,8497203.0,6969379.0,40.734673000996125,-73.98995099881881,100393.0
4,34 ST-HERALD SQ,9115976.0,6261677.0,40.75037300003949,-73.99105699913983,151229.0
5,23 ST,8823955.0,6068022.0,40.742954317826005,-73.99276500471389,151229.0
6,47-50 STS ROCK,4195964.0,4344448.0,40.75864100159815,-73.98133100227702,132578.0
7,125 ST,5366347.0,4297757.0,40.811071672994565,-73.95224799734774,31540.0
8,42 ST-PORT AUTH,6251161.0,4150332.0,40.757307998551504,-73.98973500085859,30117.0
9,FULTON ST,6755187.0,4117847.0,40.70941599925865,-74.00657099970202,49704.0
10,59 ST COLUMBUS,4365349.0,4066701.0,40.76824700063689,-73.98192900232715,171735.0
11,CANAL ST,5311474.0,3982792.0,40.71817387697391,-73.99982638545937,145427.0
12,FLUSHING-MAIN,4528087.0,3678727.0,40.75959999915012,-73.83003000262508,36635.0
13,14 ST,4164367.0,3654218.0,40.73822799969515,-73.99620899921355,113208.0
14,PATH NEW WTC,4008595.0,3512990.0,40.71256392680817,-74.00974461517701,49704.0
15,86 ST,5566071.0,3442383.0,40.77949199820952,-73.95558899985132,126310.0
16,59 ST,4266476.0,3196960.0,40.6413616662838,-74.01788099953987,27619.0
17,28 ST,3691002.0,3110784.0,40.74721499918219,-73.99336500134324,151229.0
18,42 ST-BRYANT PK,3049250.0,2920651.0,40.754184001312545,-73.98459099904711,132578.0
19,96 ST,4535177.0,2902793.0,40.79161879767014,-73.96460245687166,300000.0
20,LEXINGTON AV/53,2824074.0,2831807.0,40.762708855394564,-73.96737501711436,157495.0
21,7 AV,3101180.0,2763643.0,40.66624469001985,-73.98025117900944,125248.0
22,JKSN HT-ROOSVLT,3911215.0,2751145.0,40.74653969115889,-73.89129866519697,46396.0
23,CHAMBERS ST,4010574.0,2667439.0,40.71547800011327,-74.00926600170112,220441.0
24,BEDFORD AV,1895543.0,2594535.0,40.71717399858899,-73.95666499806525,88760.0
25,WALL ST,2899638.0,2459235.0,40.70755700086603,-74.01186199860112,119255.0
26,72 ST,3174065.0,2444464.0,40.77845300068614,-73.98197000159583,300000.0
27,145 ST,2919746.0,2439438.0,40.824766360871905,-73.94408792823116,67666.0
28,50 ST,3344385.0,2302562.0,40.76245599925997,-73.98598400026407,69242.0
29,ATL AV-BARCLAY,3312231.0,2125366.0,40.68442016526762,-73.97754993539385,48591.0
30,1 AV,1862031.0,2038169.0,40.73097497580066,-73.98168087489128,300000.0
31,72 ST-2 AVE,1922659.0,1907709.0,40.77845300068614,-73.98197000159583,300000.0
32,GRAND ST,2485958.0,1901186.0,40.71157600064823,-73.94049699874644,71659.0
33,B'WAY-LAFAYETTE,1547935.0,1802631.0,40.725296998738045,-73.99620399876055,300000.0
34,5 AV/53 ST,1751561.0,1766925.0,40.76008683231326,-73.9752485052734,123001.0
35,JAMAICA CENTER,1686997.0,1739824.0,40.70206737621188,-73.80109632298924,60217.0
36,103 ST,2531375.0,1706604.0,40.799446000334825,-73.96837899960818,28763.0
37,66 ST-LINCOLN,1904318.0,1704420.0,40.77344000052039,-73.98220899995783,160021.0
38,KINGS HWY,2173833.0,1687545.0,40.608638645396006,-73.95760873538083,67319.0
39,57 ST-7 AV,2563993.0,1649573.0,40.76456552501829,-73.98072973372128,95996.0
40,JAY ST-METROTEC,3167288.0,1638414.0,40.692470636847084,-73.98721815267317,105949.0
41,77 ST,2274410.0,1578778.0,40.629741666886915,-74.0255099996266,64888.0
42,SUTPHIN-ARCHER,1867455.0,1575713.0,40.700382424235,-73.80800471963833,60217.0
43,181 ST,1610425.0,1539527.0,40.84950499974065,-73.9335959996056,32556.0
44,DELANCEY/ESSEX,1982512.0,1516008.0,40.71868074219453,-73.98807806807719,77632.0
45,GROVE STREET,1390084.0,1471874.0,40.719433,-74.042652,63812.0
46,33 ST,1974985.0,1461529.0,40.74458699983993,-73.93099699953838,40506.0
47,116 ST,2518830.0,1456273.0,40.7986290002001,-73.9416169983714,53287.0
48,THIRTY THIRD ST,1844540.0,1454826.0,40.74458699983993,-73.93099699953838,40506.0
49,JUNCTION BLVD,1752299.0,1454247.0,40.74914499948836,-73.86952700103515,50792.0
